date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Oct%202025%2016:47:40%20GMT	https://thecanvasnursery.com/)	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/).0.delayed	(from )
13:47:41	130/130	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Oct%202025%2016:47:41%20GMT	https://thecanvasnursery.com/robots.txt		(from )
13:47:42	150760/150760	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Oct%202025%2016:47:42%20GMT	https://thecanvasnursery.com/	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/index.html	(from )
13:47:43	43135/43135	---MCZ	200	added ('OK')	text/css	etag:W/%22680bde79-a87f%22	https://thecanvasnursery.com/wp-content/themes/canvasnursery/style.css	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/themes/canvasnursery/style.css	(from https://thecanvasnursery.com/)
13:47:43	102033/102033	---MCZ	200	added ('OK')	text/css	etag:W/%226761c28e-18e91%22	https://thecanvasnursery.com/wp-content/themes/canvasnursery/fonts/css/all.css?ver=2025-10-23	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/themes/canvasnursery/fonts/css/allc197.css	(from https://thecanvasnursery.com/)
13:47:43	1066/1066	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2262f38c079c984bd89e9691d22bbb8114%22	https://thecanvasnursery.com/feed/	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/feed/index.html	(from https://thecanvasnursery.com/)
13:47:44	55844/55844	---MCZ	200	added ('OK')	text/css	etag:W/%226761c28e-da24%22	https://thecanvasnursery.com/wp-content/themes/canvasnursery/css/animations.css?ver=2025-10-23	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/themes/canvasnursery/css/animationsc197.css	(from https://thecanvasnursery.com/)
13:47:44	18193/18193	---MCZ	200	added ('OK')	text/css	etag:W/%2267bc4866-4711%22	https://thecanvasnursery.com/wp-content/themes/canvasnursery/css/jquery.fancybox.css?ver=2025-10-23	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/themes/canvasnursery/css/jquery.fancyboxc197.css	(from https://thecanvasnursery.com/)
13:47:44	25620/25620	---MCZ	200	added ('OK')	text/css	etag:W/%2266e6d462-6414%22	https://thecanvasnursery.com/wp-content/themes/canvasnursery/lightgallery/css/lightgallery.css?ver=2025-10-23	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/themes/canvasnursery/lightgallery/css/lightgalleryc197.css	(from https://thecanvasnursery.com/)
13:47:45	13037/13037	---MCZ	200	added ('OK')	text/css	etag:W/%2268138538-32ed%22	https://thecanvasnursery.com/wp-content/themes/canvasnursery/css/responsive.css?ver=2025-10-23	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/themes/canvasnursery/css/responsivec197.css	(from https://thecanvasnursery.com/)
13:47:45	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22680bd66e-b4e%22	https://thecanvasnursery.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://thecanvasnursery.com/)
13:47:45	3106/3106	---MCZ	200	added ('OK')	text/css	etag:W/%22685ae34b-c22%22	https://thecanvasnursery.com/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public.css?ver=3.3.0	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public9b70.css	(from https://thecanvasnursery.com/)
13:47:45	27249/27249	---MCZ	200	added ('OK')	text/css	etag:W/%22685ae34b-6a71%22	https://thecanvasnursery.com/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr.css?ver=3.3.0	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr9b70.css	(from https://thecanvasnursery.com/)
13:47:46	125/125	---MCZ	200	added ('OK')	text/css	etag:W/%227d-63854d6fc6fb0%22	https://thecanvasnursery.com/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script.css?ver=2c532d7e2be36f6af233	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script413f.css	(from https://thecanvasnursery.com/)
13:47:46	95786/95786	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/thecanvasnursery2/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://thecanvasnursery.com/)
13:47:47	34185/34185	---MCZ	200	added ('OK')	application/javascript	etag:W/%22685ae34b-8589%22	https://thecanvasnursery.com/wp-content/plugins/cookie-law-info/legacy/public/js/cookie-law-info-public.js?ver=3.3.0	C:/My%20Web%20Sites/thecanvasnursery2/thecanvasnursery.com/wp-content/plugins/cookie-law-info/legacy/public/js/cookie-law-info-public9b70.js	(from https://thecanvasnursery.com/)
